0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.005195,-0.018759,0.049130
0,0,0
0,0,0
0.003488,-0.013897,0.047608
0,0,0
0,0,0
-0.005585,-0.017786,0.047662
0,0,0
0,0,0
-0.006404,-0.016323,0.046966
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.005020,-0.018233,0.048437
0,0,0
0,0,0
-0.003587,-0.020130,0.049860
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.001938,-0.019867,0.050327
0,0,0
0,0,0
-0.006314,-0.017082,0.047923
0,0,0
0,0,0
0.002507,-0.011993,0.046361
0,0,0
0,0,0
-0.007234,-0.015956,0.046513
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.011321,0.001805,0.048932
0,0,0
0,0,0
-0.010310,0.001709,0.049184
0,0,0
0,0,0
-0.011311,0.001924,0.049173
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.004559,-0.012706,0.051001
0,0,0
0,0,0
0.002026,-0.005899,0.052477
0,0,0
0,0,0
0.000642,-0.011596,0.049306
0,0,0
0,0,0
0.003181,-0.015077,0.050841
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.008964,-0.018164,0.049378
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.000430,-0.017923,0.059821
0,0,0
0,0,0
-0.004835,-0.012599,0.058328
0,0,0
0,0,0
-0.003141,-0.015962,0.060537
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.008108,0.006812,0.050890
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.005969,-0.017446,0.046456
0,0,0
0,0,0
-0.004438,-0.016753,0.045086
0,0,0
0,0,0
-0.003467,-0.019076,0.045057
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.004909,-0.019493,0.045957
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.004856,-0.019445,0.047893
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.001636,-0.018639,0.051558
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.003771,-0.022498,0.058960
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.004668,-0.022552,0.066835
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-0.006612,-0.022170,0.058642
0,0,0
0,0,0
-0.005527,-0.019569,0.055950
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
